timestamp, gpu_name, gpu_uuid, memory [MHz], graphics [MHz]
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2535 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2520 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2505 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2490 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2475 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2460 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2445 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2430 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2415 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2400 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2385 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2370 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2355 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2340 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2325 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2310 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2295 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2280 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2265 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2250 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2235 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2220 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2205 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2190 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2175 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2160 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2145 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2130 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2115 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2100 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2085 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2070 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2055 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2040 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2025 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 2010 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1995 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1980 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1965 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1950 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1935 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1920 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1905 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1890 MHz
2025/03/31 16:50:31.206, NVIDIA GeForce RTX 4060 Laptop GPU, GPU-1094bb47-f390-6560-0fca-43e993217823, 8001 MHz, 1875 MHz
