0	323.78
1	323.78
2	323.78
3	323.781
4	323.782
5	323.783
6	323.784
7	323.785
8	323.786
9	323.787
10	323.789
11	323.791
12	323.792
13	323.794
14	323.796
15	323.798
16	323.8
17	323.802
18	323.805
19	323.807
20	323.809
21	323.812
22	323.814
23	323.817
24	323.819
25	323.822
26	323.825
27	323.827
28	323.83
29	323.833
30	323.836
31	323.838
32	323.841
33	323.844
34	323.847
35	323.85
36	323.853
37	323.856
38	323.859
39	323.862
40	323.865
41	323.868
42	323.872
43	323.875
44	323.878
45	323.881
46	323.884
47	323.887
48	323.89
49	323.894
50	323.897
51	323.9
52	323.903
53	323.906
54	323.91
55	323.913
56	323.916
57	323.919
58	323.922
59	323.926
60	323.929
61	323.932
62	323.935
63	323.939
64	323.942
65	323.945
66	323.948
67	323.952
68	323.955
69	323.958
70	323.961
71	323.965
72	323.968
73	323.971
74	323.974
75	323.978
76	323.981
77	323.984
78	323.987
79	323.991
80	323.994
81	323.997
82	324.001
83	324.004
84	324.007
85	324.01
86	324.014
87	324.017
88	324.02
89	324.023
90	324.027
91	324.03
92	324.033
93	324.036
94	324.04
95	324.043
96	324.046
97	324.049
98	324.053
99	324.056
100	324.059
101	324.062
102	324.066
103	324.069
104	324.072
105	324.075
106	324.079
107	324.082
108	324.085
109	324.089
110	324.092
111	324.095
112	324.098
113	324.102
114	324.105
115	324.108
116	324.111
117	324.115
118	324.118
119	324.121
120	324.125
121	324.128
122	324.131
123	324.134
124	324.138
125	324.141
126	324.144
127	324.148
128	324.151
129	324.154
130	324.158
131	324.161
132	324.164
133	324.168
134	324.171
135	324.174
136	324.178
137	324.181
138	324.184
139	324.188
140	324.191
141	324.195
142	324.198
143	324.201
144	324.205
145	324.208
146	324.211
147	324.215
148	324.218
149	324.222
150	324.225
151	324.229
152	324.232
153	324.235
154	324.239
155	324.242
156	324.246
157	324.249
158	324.253
159	324.256
160	324.26
161	324.263
162	324.267
163	324.27
164	324.274
165	324.277
166	324.281
167	324.285
168	324.288
169	324.292
170	324.295
171	324.299
172	324.303
173	324.306
174	324.31
175	324.313
176	324.317
177	324.321
178	324.324
179	324.328
180	324.332
181	324.336
182	324.339
183	324.343
184	324.347
185	324.351
186	324.354
187	324.358
188	324.362
189	324.366
190	324.37
191	324.374
192	324.377
193	324.381
194	324.385
195	324.389
196	324.393
197	324.397
198	324.401
199	324.405
200	324.409
201	324.413
202	324.417
203	324.421
204	324.425
205	324.429
206	324.433
207	324.437
208	324.442
209	324.446
210	324.45
211	324.454
212	324.458
213	324.463
214	324.467
215	324.471
216	324.475
217	324.48
218	324.484
219	324.489
220	324.493
221	324.497
